               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16484,            0.079979,                   0,           0.0081739,           0.0051744,           0.0027679,          0.00070604,             0.14803,            0.099754,                   0,            0.070187,           0.0033125,           0.0033125
                   1,             0.15042,            0.089361,                   0,            0.027788,            0.027171,           0.0072401,           0.0017493,             0.14543,            0.098158,                   0,            0.040122,             0.00658,             0.00658
                   2,             0.14858,            0.098166,                   0,            0.028764,            0.026278,           0.0072282,           0.0018246,              0.1447,             0.10031,                   0,           0.0099899,           0.0097816,           0.0097816
                   3,              0.1484,            0.097499,                   0,            0.035096,            0.031919,           0.0099692,           0.0025904,             0.14392,            0.098641,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.1474,            0.098513,                   0,            0.040627,            0.039589,            0.010061,           0.0025242,             0.14353,             0.10619,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.14774,            0.097913,                   0,            0.051712,            0.044967,            0.013544,           0.0034315,             0.14319,             0.10156,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.14705,            0.097903,                   0,            0.052283,            0.040239,            0.016842,           0.0041916,             0.14299,             0.10017,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.14675,             0.10222,                   0,            0.059397,            0.050247,             0.01702,           0.0043814,             0.14272,             0.10424,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.14669,             0.10103,                   0,             0.04856,            0.042227,            0.014569,           0.0039802,             0.14329,             0.10215,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.14663,             0.10222,                   0,             0.05122,            0.040665,            0.015493,           0.0040318,             0.14288,             0.10067,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.14629,             0.10368,                   0,            0.056173,            0.045778,            0.016484,           0.0041684,             0.14262,             0.10337,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.14628,              0.1029,                   0,            0.058762,            0.050121,            0.019873,           0.0050451,             0.14221,             0.10182,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.14626,             0.10063,                   0,            0.065415,            0.049167,            0.018776,           0.0047176,             0.14236,             0.10202,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.14607,             0.10261,                   0,            0.074032,            0.054037,            0.021403,           0.0052117,             0.14191,             0.10507,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.14591,            0.099679,                   0,            0.071908,             0.05353,            0.025871,           0.0070924,             0.14201,             0.10257,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.14576,             0.10586,                   0,            0.066101,            0.053469,            0.021885,           0.0053919,             0.14197,             0.10168,                   0,            0.008614,            0.008614,            0.008614
                  16,              0.1458,             0.10437,                   0,            0.072669,            0.056066,            0.025877,           0.0077099,             0.14131,             0.10471,                   0,            0.008515,            0.008515,            0.008515
                  17,              0.1458,             0.10486,                   0,            0.086317,            0.061504,            0.029036,           0.0072513,             0.14095,             0.10448,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.14588,             0.10454,                   0,            0.066756,            0.054849,            0.023571,           0.0069371,             0.14161,             0.10616,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.14556,             0.10495,                   0,            0.081411,            0.060348,            0.028634,           0.0075271,             0.14101,             0.10757,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.14487,             0.10318,                   0,            0.091805,            0.064426,            0.029598,           0.0074463,             0.14102,              0.1047,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.14514,             0.10518,                   0,            0.085059,            0.063473,            0.027304,           0.0069796,             0.14119,             0.10359,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.14484,             0.11079,                   0,            0.095092,            0.068444,            0.032879,            0.008038,              0.1403,             0.10522,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.14472,             0.10873,                   0,            0.093433,            0.067551,            0.033171,           0.0083975,             0.14077,             0.10912,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.14454,             0.10748,                   0,            0.096984,            0.065238,            0.033817,           0.0089409,             0.14013,             0.10756,                   0,            0.007723,            0.007723,            0.007723
                  25,              0.1446,             0.10695,                   0,             0.10107,            0.069804,            0.032863,           0.0086336,             0.14001,             0.11031,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.14427,             0.11068,                   0,             0.10387,            0.076115,            0.037477,            0.010113,             0.14014,             0.10931,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.14381,             0.10876,                   0,               0.105,            0.075222,            0.039138,            0.011108,             0.14024,             0.10951,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.14442,             0.11028,                   0,             0.09385,            0.072523,             0.03498,           0.0095317,             0.14053,             0.10762,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.14372,             0.11388,                   0,             0.10026,             0.07165,            0.038125,           0.0099911,             0.13974,              0.1072,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.14358,             0.10896,                   0,            0.097489,            0.067937,            0.035324,           0.0092769,              0.1398,             0.10607,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.14363,             0.11165,                   0,             0.10729,            0.076683,              0.0401,            0.010502,             0.13991,                0.11,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.14367,             0.10855,                   0,             0.11486,            0.081999,            0.039416,           0.0097371,             0.13962,             0.10795,                   0,            0.006931,            0.006931,            0.006931
                  33,              0.1435,             0.10911,                   0,             0.11143,            0.076683,            0.043032,            0.011617,             0.13953,             0.11086,                   0,            0.006832,            0.006832,            0.006832
                  34,               0.143,             0.11002,                   0,             0.11462,            0.082851,            0.044869,            0.012507,             0.13881,             0.11043,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.14364,             0.11317,                   0,             0.12332,            0.079889,            0.044736,            0.013159,             0.13888,             0.11142,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.14341,             0.11107,                   0,             0.11803,            0.085773,            0.046727,            0.012166,             0.13887,             0.11253,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.14338,             0.11136,                   0,             0.13187,            0.081959,            0.046509,            0.011699,             0.13884,             0.11201,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.14307,              0.1166,                   0,             0.12725,            0.085794,            0.047333,            0.013107,             0.13902,             0.11096,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.14299,             0.11133,                   0,                0.13,            0.086545,             0.04881,            0.011694,              0.1389,             0.11188,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.14231,             0.11338,                   0,              0.1237,            0.080538,            0.045432,            0.011135,             0.13884,             0.11334,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.14301,             0.11247,                   0,             0.13055,            0.087334,            0.050314,             0.01298,             0.13856,             0.11383,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.14273,             0.11289,                   0,             0.12933,            0.087032,            0.049478,            0.013074,             0.13838,             0.11075,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.14286,             0.11467,                   0,             0.13892,            0.085692,            0.052181,            0.015043,             0.13865,             0.11286,                   0,            0.005842,            0.005842,            0.005842
                  44,              0.1427,             0.11106,                   0,              0.1325,            0.087843,            0.051304,            0.014649,             0.13855,             0.11407,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.14197,             0.11462,                   0,             0.13897,            0.093647,            0.053868,            0.014337,             0.13867,             0.11192,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.14235,             0.11355,                   0,             0.14231,            0.095513,            0.055871,             0.01493,             0.13824,              0.1143,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.14163,             0.11686,                   0,             0.14408,            0.093687,             0.05778,            0.014491,             0.13815,             0.11692,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.14208,             0.11318,                   0,             0.14501,            0.095737,            0.058341,            0.014869,               0.138,             0.11404,                   0,            0.005347,            0.005347,            0.005347
                  49,              0.1422,             0.11747,                   0,             0.14978,            0.094032,            0.058264,            0.014489,             0.13758,             0.11607,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.14105,             0.11347,                   0,             0.14392,            0.098699,            0.057602,            0.014821,             0.13834,             0.11407,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.14062,             0.11626,                   0,             0.14884,            0.099105,            0.060612,            0.015344,             0.13784,             0.11475,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.14116,             0.11433,                   0,             0.15652,             0.10061,             0.06343,            0.016837,             0.13767,              0.1181,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.14138,             0.11891,                   0,             0.15089,            0.098598,            0.059676,            0.015168,             0.13753,             0.11464,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.14122,             0.11609,                   0,              0.1568,            0.099065,            0.062759,            0.016617,             0.13746,             0.11533,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.14125,             0.11863,                   0,             0.15949,             0.10071,            0.062518,            0.015657,             0.13718,             0.11626,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.14056,             0.11838,                   0,             0.16845,             0.10458,            0.066718,            0.017578,             0.13724,             0.11636,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.14055,             0.11558,                   0,             0.16469,             0.10645,             0.06804,            0.017741,             0.13699,             0.11749,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.14058,             0.11467,                   0,             0.16151,             0.10186,            0.065173,            0.016864,              0.1375,             0.11578,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.14022,             0.11954,                   0,             0.16787,             0.10702,            0.069676,            0.018718,             0.13683,             0.11744,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.14057,             0.11706,                   0,             0.16776,             0.10791,            0.069217,             0.01887,             0.13731,             0.11621,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.14047,             0.11654,                   0,             0.17156,             0.11114,            0.072192,             0.01819,             0.13719,              0.1178,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.13996,             0.12395,                   0,             0.17294,             0.11148,            0.073644,            0.019034,             0.13715,             0.11794,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.14049,             0.11719,                   0,             0.17962,             0.10858,            0.074392,            0.019868,             0.13716,             0.11734,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.13944,             0.11911,                   0,             0.17358,              0.1069,            0.073087,            0.020345,             0.13684,             0.11857,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.14019,             0.11751,                   0,             0.17209,             0.11173,            0.071565,            0.018102,             0.13685,             0.11745,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.13949,             0.11765,                   0,             0.18236,             0.11229,            0.075399,            0.019144,             0.13668,             0.12009,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.13987,             0.11683,                   0,                0.18,             0.11363,            0.076701,            0.019835,              0.1369,             0.11831,                   0,            0.003466,            0.003466,            0.003466
                  68,              0.1397,             0.11993,                   0,             0.18727,             0.11284,            0.080486,            0.020623,             0.13648,             0.11789,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.13914,             0.11814,                   0,             0.19173,             0.11599,            0.081029,            0.020597,             0.13655,              0.1202,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.13934,             0.11888,                   0,              0.1852,              0.1138,            0.078269,            0.021464,             0.13629,             0.11879,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.13937,             0.11295,                   0,             0.19305,             0.11883,            0.082353,            0.021297,             0.13646,             0.12099,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.13958,             0.12018,                   0,             0.18164,             0.11668,            0.079136,            0.021035,             0.13635,              0.1183,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.13897,             0.12089,                   0,             0.19338,             0.11798,            0.083525,            0.021839,             0.13653,             0.11992,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.13952,             0.11826,                   0,              0.1973,             0.12044,            0.085839,             0.02183,             0.13634,             0.11931,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.13913,             0.12429,                   0,             0.20044,             0.12063,            0.085482,            0.022686,             0.13641,             0.11948,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.13899,             0.12097,                   0,             0.19996,             0.12015,            0.086007,            0.022139,             0.13635,             0.11995,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.13925,             0.12135,                   0,              0.2046,             0.12396,            0.090152,            0.023033,             0.13555,             0.12072,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.13937,             0.12193,                   0,             0.20546,             0.12234,             0.08867,            0.022324,             0.13579,             0.12034,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.13843,             0.11917,                   0,              0.2014,             0.12532,            0.089095,            0.023639,             0.13576,             0.12134,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.13888,             0.12242,                   0,             0.20594,             0.12492,            0.090982,            0.022686,             0.13581,              0.1212,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.13905,             0.12225,                   0,              0.1999,             0.12321,             0.08793,            0.022546,               0.136,              0.1207,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.13886,             0.12065,                   0,             0.20384,             0.12504,            0.089962,            0.023775,             0.13589,             0.12145,                   0,            0.001981,            0.001981,            0.001981
                  83,              0.1383,              0.1203,                   0,             0.20302,             0.12228,            0.088907,            0.023961,             0.13552,             0.12087,                   0,            0.001882,            0.001882,            0.001882
                  84,              0.1383,              0.1256,                   0,             0.20107,             0.12684,             0.09096,             0.02368,             0.13547,             0.12129,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.13796,             0.12066,                   0,             0.21385,             0.12656,            0.094912,            0.024617,             0.13542,             0.12278,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.13809,             0.12014,                   0,             0.21214,             0.12555,            0.093971,            0.024638,             0.13504,             0.12229,                   0,            0.001585,            0.001585,            0.001585
                  87,              0.1384,             0.12329,                   0,             0.21217,             0.12871,            0.095628,            0.025324,               0.135,             0.12235,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.13834,             0.12223,                   0,             0.21603,             0.12814,            0.096349,            0.025767,             0.13514,             0.12254,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.13747,             0.12095,                   0,              0.2152,             0.13133,            0.097696,            0.025331,             0.13491,               0.123,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.13756,             0.12287,                   0,              0.2175,             0.12731,            0.095962,            0.024858,             0.13507,              0.1225,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.13741,             0.11991,                   0,             0.21326,             0.13013,            0.097527,              0.0254,             0.13501,             0.12251,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.13717,             0.12319,                   0,             0.22023,             0.13141,             0.10042,            0.026231,             0.13492,             0.12367,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.13694,             0.12282,                   0,             0.21582,             0.13319,            0.099252,             0.02645,             0.13514,             0.12368,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.13725,              0.1239,                   0,             0.21756,              0.1319,            0.099976,            0.025912,             0.13515,             0.12367,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.13663,               0.118,                   0,             0.21508,             0.13472,             0.10151,            0.026272,             0.13499,             0.12408,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.13727,             0.12349,                   0,             0.21594,             0.13358,             0.10103,            0.026616,             0.13491,             0.12333,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.13718,             0.12365,                   0,             0.21436,             0.13409,              0.1015,            0.026393,             0.13488,             0.12347,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.13712,             0.12123,                   0,             0.22186,             0.13188,             0.10053,            0.026375,             0.13474,             0.12411,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.13752,             0.12243,                   0,             0.21845,             0.13539,             0.10203,            0.026334,             0.13474,             0.12421,                   0,            0.000298,            0.000298,            0.000298
